상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
25902515,페리카나,철산1점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41210,광명시,4121061000,철산3동,4121010200,철산동,4121010200104250000,1,대지,425,,경기도 광명시 철산동 425,412103000026,경기도 광명시 디지털로,17,,4121010200104250000000491,가림빌딩,경기도 광명시 디지털로 17,423030,14240,,5,,126.869351444047,37.4740061844987
25902833,체스터치킨,거여점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11710,송파구,1171053100,거여1동,1171011300,거여동,1171011300101360068,1,대지,136,68,서울특별시 송파구 거여동 136-68,117104169050,서울특별시 송파구 거마로9길,13,,1171011300101360068023509,,서울특별시 송파구 거마로9길 13,138110,05735,,3,,127.144274665719,37.4964469091685
25902905,한방닭강정,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41190,부천시,4119060600,부천동,4119010400,도당동,4119010400100880016,1,대지,88,16,경기도 부천시 도당동 88-16,411903184003,경기도 부천시 부천로,331,8,4119510400100880016017172,,경기도 부천시 부천로 331-8,420835,14521,,2,,126.784230685603,37.5138878286962
25903105,페리카나치킨,금산점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,46,전라남도,46770,고흥군,4677033000,금산면,4677033021,금산면,4677033021103600020,1,대지,360,20,전라남도 고흥군 금산면 대흥리 360-20,467704667362,전라남도 고흥군 금산면 상하촌길,24,1,4677033021103600020068736,체육관,전라남도 고흥군 금산면 상하촌길 24-1,548931,59564,,,,127.127546512377,34.4617163837092
25903311,본스치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41210,광명시,4121063300,하안3동,4121010300,하안동,4121010300102600004,1,대지,260,4,경기도 광명시 하안동 260-4,412103187057,경기도 광명시 하안로,233,,4121010300102600004012502,하안주공8단지교육센타,경기도 광명시 하안로 233,423060,14309,,,,126.883808561533,37.4574562143068
25903566,코리안바베큐,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,43,충청북도,43770,음성군,4377025300,금왕읍,4377025321,금왕읍,4377025321102510005,1,대지,251,5,충청북도 음성군 금왕읍 무극리 251-5,437703247019,충청북도 음성군 금왕읍 무극로,261,1,4377025321102510005215796,,충청북도 음성군 금왕읍 무극로 261-1,369904,27629,,1,,127.590840605024,36.9924973200159
25903567,이가네양념치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28237,부평구,2823757000,산곡1동,2823710300,산곡동,2823710300101800386,1,대지,180,386,인천광역시 부평구 산곡동 180-386,282373154073,인천광역시 부평구 원적로,280,,2823710300101800386004800,청아빌딩,인천광역시 부평구 원적로 280,403020,21371,,1,,126.697284119822,37.5045452221482
25903803,둘리치킨,창전점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41500,이천시,4150051000,창전동,4150010100,창전동,4150010100104340007,1,대지,434,7,경기도 이천시 창전동 434-7,415003207076,경기도 이천시 향교로,69,,4150010100104340007008283,,경기도 이천시 향교로 69,467806,17356,,2,,127.445294919042,37.2846124037166
25904353,BHCO,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,48,경상남도,48330,양산시,4833057000,덕계동,4833012100,매곡동,4833012100109840001,1,대지,984,1,경상남도 양산시 매곡동 984-1,483304814076,경상남도 양산시 그린공단2길,2,,4833012100109840001006813,유성화학,경상남도 양산시 그린공단2길 2,626260,50539,,3,,129.169706848606,35.3648680994615
25904630,둘둘치킨,강남서초점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,11,서울특별시,11650,서초구,1165053100,서초4동,1165010800,서초동,1165010800113070001,1,대지,1307,1,서울특별시 서초구 서초동 1307-1,116504163432,서울특별시 서초구 서초대로73길,26,,1165010800113070002025052,경동유료주차장,서울특별시 서초구 서초대로73길 26,137070,06614,,,,127.025022420009,37.499766866692
25904752,에디슨DHA치킨강릉송정점,강릉송정점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42150,강릉시,4215059000,송정동,4215011500,견소동,4215011500102890000,1,대지,289,,강원도 강릉시 견소동 289,421504460144,강원도 강릉시 경강로2539번길,22,,4215011500102890000000970,송정해변신도브래뉴아파트,강원도 강릉시 경강로2539번길 22,210795,25560,,2,,128.938444531603,37.7756447828909
25905053,보드람치킨,인하대점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,28,인천광역시,28177,미추홀구,2817754000,용현1.4동,2817710200,용현동,2817710200101950017,1,대지,195,17,인천광역시 미추홀구 용현동 195-17,281774253621,인천광역시 미추홀구 인하로77번길,33,,2817010200101950017013172,,인천광역시 미추홀구 인하로77번길 33,402825,22207,,,,126.657497441333,37.4526420349743
25905488,멕시칸치킨하안주공중앙점,하안주공중앙점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41210,광명시,4121063200,하안2동,4121010300,하안동,4121010300106500001,1,대지,650,1,경기도 광명시 하안동 650-1,412103187042,경기도 광명시 안현로,22,,4121010300106500001013397,하안주공3단지종합상가,경기도 광명시 안현로 22,423060,14248,,1,,126.874570928648,37.4636939645849
25906426,지코바양념치킨,갈마2호점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,30,대전광역시,30170,서구,3017058200,갈마2동,3017011100,갈마동,3017011100113780000,1,대지,1378,,대전광역시 서구 갈마동 1378,301703166012,대전광역시 서구 괴정로,29,,3017011100113780000007917,,대전광역시 서구 괴정로 29,302170,35266,,3,,127.377312819161,36.3409292320122
25906754,파파이스서산점,서산점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,44,충청남도,44210,서산시,4421053500,동문2동,4421010200,동문동,4421010200109020002,1,대지,902,2,충청남도 서산시 동문동 902-2,442103254092,충청남도 서산시 시장1로,15,,4421010200109020002034503,,충청남도 서산시 시장1로 15,356803,31981,,1,,126.454786526034,36.7828148118226
